,Type,SubType,Menu Item,Size,Price,Calories
0,Burgers,Big Mac,Big Mac,,5.69,520
1,Burgers,Big Mac,Double Big Mac,,7.19,680
2,Burgers,Big Mac,"Big Mac, No Meat",,4.19,360
3,Burgers,Quarter Pounder,Quarter Pounder With Cheese,,5.69,520
4,Burgers,Quarter Pounder,Double Quarter Pounder With Cheese,,7.19,740
5,Burgers,Quarter Pounder,Quarter Pounder BLT,,6.09,600
6,Burgers,Quarter Pounder,Double Quarter Pounder BLT,,7.49,830
7,Burgers,Quarter Pounder,Quarter Pounder Without Cheese,,5.19,420
8,Burgers,Quarter Pounder,Double Quarter Pounder Without Cheese,,6.59,650
9,Burgers,Cheeseburger,Cheeseburger,,1.89,290
10,Burgers,Cheeseburger,Double Cheeseburger,,2.39,420
11,Burgers,Hamburger,Hamburger,,1.69,240
12,Burgers,Hamburger,Double Hamburger,,1.99,320
13,Burgers,Hamburger,McDouble,,2.29,370
14,Burgers,Mighty Angus Range,Carolina BBQ Angus,,6.99,790
15,Burgers,Mighty Angus Range,Mighty Angus Original,,6.99,790
16,Burgers,Mighty Angus Range,Bacon and Cheddar Angus,,6.99,770
17,Chicken,Seriously Chicken,BLT with Crispy Chicken,,7.19,700
18,Chicken,Seriously Chicken,BLT with Grilled Chicken,,7.19,560
19,Chicken,Seriously Chicken,Tomato & Mozzarella with Crispy Chicken,,7.19,630
20,Chicken,Seriously Chicken,Tomato & Mozzarella with Grilled Chicken,,7.19,500
21,Chicken,Signature McWraps,Chicken & Bacon Signature McWrwap with Grilled Chicken,,5.79,500
22,Chicken,Signature McWraps,Chicken & Bacon Signature McWrap with Crispy Chicken,,5.79,600
23,Chicken,Signature McWraps,Sweet Chili Signature McWrap with Crispy Chicken,,5.79,520
24,Chicken,Signature McWraps,Sweet Chili Signature McWrap with Grilled Chicken,,5.79,420
25,Chicken,McChicken,McChicken,,5.39,470
26,Chicken,McNuggets,6 Chicken McNuggets,,5.59,280-310
27,Chicken,McNuggets,10 Chicken McNuggets,,6.99,410
28,Chicken,McNuggets,20 Chicken McNuggets,,10.29,830
29,Chicken,Snack Wraps,Ranch Snack Wrap with Crispy Chicken,,2.49,290
30,Chicken,Snack Wraps,Ranch Snack Wrap with Grilled Chicken,,2.49,240
31,Chicken,Snack Wraps,Chipotle Snack Wrap with Crispy Chicken,,2.49,290
32,Chicken,Snack Wraps,Chipotle Snack Wrap with Grilled Chicken,,2.49,240
33,Chicken,Snack Wraps,Junior Chicken,,1.99,370
34,Filet-O-Fish,Filet-O-Fish,Filet-O-Fish,,5.19,400
35,Filet-O-Fish,Filet-O-Fish,Double Filet-O-Fish,,6.59,560
36,Salads & Wraps,Entrée Salads,Caesar Entrée Salad with Crispy Chicken,,7.79,1030-1120
37,Salads & Wraps,Entrée Salads,Caesar Entrée Salad with Grilled Chicken,,7.79,760-850
38,Salads & Wraps,Entrée Salads,Greek Salad with Grilled Chicken,,7.79,631-721
39,Salads & Wraps,Entrée Salads,Greek Salad with Crispy Chicken,,7.79,901-991
40,Salads & Wraps,Entrée Salads,Greek Entrée Salad,,5.79,391-481
41,Salads & Wraps,Entrée Salads,Caesar Entrée Salad,,5.79,520-610
42,Salads & Wraps,Side Salads,Side Caesar Salad,,2.89,250-340
43,Salads & Wraps,Side Salads,Side Garden Salad,,2.89,150-240
44,Sandwiches and Wraps,McMuffin Sandwiches,Egg McMuffin,,3.79,290
45,Sandwiches and Wraps,McMuffin Sandwiches,Sausage 'N Egg McMuffin,,3.89,430
46,Sandwiches and Wraps,McMuffin Sandwiches,Bacon N' Egg McMuffin,,3.89,310
47,Sandwiches and Wraps,McMuffin Sandwiches,Sausage McMuffin,,1.99,370
48,Sandwiches and Wraps,More-ning McWraps,Sausage & Hash Brown McWrap,,4.39,710
49,Sandwiches and Wraps,More-ning McWraps,Bacon & Hason Brown McWRap,,4.39,590
50,Sandwiches and Wraps,Breakfast Burritos,Breakfast Burrito,,2.39,290
51,Sandwiches and Wraps,Breakfast Burritos,2 Breakfast Burritos,,4.69,580
52,Sandwiches and Wraps,Breakfast Burritos,2 Breakfast Burritos Extra Value Meal,,6.79,750
53,Sandwiches and Wraps,McGriddles Sandwiches,McGriddle,,1.69,260
54,Sandwiches and Wraps,McGriddles Sandwiches,"Sausage, Egg & Cheese McGriddles",,4.19,520
55,Sandwiches and Wraps,McGriddles Sandwiches,"Bacon, Egg & Cheese McGriddles",,4.19,400
56,Sandwiches and Wraps,McGriddles Sandwiches,Sausage McGriddles,,2.59,400
57,Platters & Hotcakes,Platters & Hotcakes,Hotcakes & Sausage,,4.49,760
58,Platters & Hotcakes,Platters & Hotcakes,Hotcakes & Bacon,,4.49,670
59,Platters & Hotcakes,Platters & Hotcakes,Hotcakes,,3.49,600
60,Platters & Hotcakes,Platters & Hotcakes,Big Breakfast,,4.69,690-750
61,Happy Meals,Happy Meals,Happy Meal Hamburger with Mini Fries,,3.99,305-670
62,Happy Meals,Happy Meals,Happy Meal Hamburger with Apples,,3.99,305-675
63,Happy Meals,Happy Meals,Happy Meal Hamburger with Small Fries,,3.99,305-675
64,Happy Meals,Happy Meals,Happy Meal Cheeseburger with Mini Fry,,4.59,355-725
65,Happy Meals,Happy Meals,Happy Meal Cheeseburger with Apples,,4.59,355-725
66,Happy Meals,Happy Meals,Happy Meal Cheeseburger with Small Fries,,4.59,355-725
67,Happy Meals,Happy Meals,Happy Meal Grilled Chipotle Snack Wrap with Mini Fries,,4.59,305-675
68,Happy Meals,Happy Meals,Happy Meal Grilled Chipotle Snack Wrap with Apples,,4.59,305-675
69,Happy Meals,Happy Meals,Happy Meal Grilled Chipotle Snack Wrap with Small Fries,,4.59,305-675
70,Happy Meals,Happy Meals,Happy Meal Crispy Chipotle Snack Wrap with Mini Fries,,4.59,355-725
71,Happy Meals,Happy Meals,Happy Meal Crispy Chipotle Snack Wrap with Apples,,4.59,355-725
72,Happy Meals,Happy Meals,Happy Meal Crispy Chipotle Snack Wrap with Small Fries,,4.59,355-725
73,Happy Meals,Happy Meals,Happy Meal Grilled Ranch Snack Wrap with Mini Fries,,4.59,305-675
74,Happy Meals,Happy Meals,Happy Meal Grilled Ranch Snack Wrap with Apples,,4.59,305-675
75,Happy Meals,Happy Meals,Happy Meal Grilled Ranch Snack Wrap with Small Fries,,4.59,305-675
76,Happy Meals,Happy Meals,Happy Meal Crispy Ranch Snack Wrap with Mini Fries,,4.59,355-725
77,Happy Meals,Happy Meals,Happy Meal Crispy Ranch Snack Wrap with Apples,,4.59,355-725
78,Happy Meals,Happy Meals,Happy Meal Crispy Ranch Snack Wrap with Small Fries,,4.59,355-725
79,Happy Meals,Happy Meals,Happy Meal 4 McNuggets with Mini Fries,,4.79,275-655
